X;Y;TYPE;SPEED;DIRTYPE;DIRECTION
805.697;5.226.829;3;0;0;0
1.025.049;5.151.566;3;0;0;0
863.908;4.954.859;3;0;0;0
921.402;4.888.882;3;0;0;0
883.167;5.308.111;3;0;0;0
1.224.223;5.182.611;3;0;0;0
864.362;4.985.472;3;0;0;0
880.848;5.308.319;3;0;0;0
875.307;5.311.237;3;0;0;0
1.239.013;5.136.170;3;0;0;0
1.236.275;5.134.279;3;0;0;0
916.390;4.768.052;3;0;0;0
708.861;5.151.417;3;0;0;0
871.138;5.317.921;3;0;0;0
865.028;4.987.389;3;0;0;0
852.302;5.012.038;3;0;0;0
991.949;5.155.510;3;0;0;0
874.251;4.997.889;3;0;0;0
746.867;5.150.869;3;0;0;0
700.168;4.924.194;3;0;0;0
871.786;4.941.450;3;0;0;0
876.944;4.986.250;3;0;0;0
837.217;5.191.392;3;0;0;0
949.932;4.893.485;3;0;0;0
994.918;5.355.861;3;0;0;0
1.237.359;5.131.774;3;0;0;0
943.756;5.478.718;3;0;0;0
1.104.223;5.097.500;3;0;0;0
921.778;4.878.667;3;0;0;0
932.240;4.883.205;3;0;0;0
920.764;4.886.249;3;0;0;0
1.292.640;5.083.389;3;0;0;0
1.140.735;5.194.149;3;0;0;0
692.501;5.093.666;3;0;0;0
865.379;5.014.406;3;0;0;0
764.721;5.196.359;3;0;0;0
1.326.667;5.355.917;3;0;0;0
1.209.278;4.784.833;3;0;0;0
914.529;4.767.833;3;0;0;0
1.088.099;4.838.583;3;0;0;0
921.889;4.913.444;3;0;0;0
1.343.486;5.244.029;3;0;0;0
1.080.000;5.243.694;3;0;0;0
1.133.833;4.799.667;3;0;0;0
991.640;4.979.444;3;0;0;0
713.429;5.125.322;3;0;0;0
715.083;5.125.639;3;0;0;0
1.293.904;5.083.065;3;0;0;0
715.083;5.122.611;3;0;0;0
914.370;4.997.847;3;0;0;0
622.094;5.075.708;3;0;0;0
812.501;5.352.639;3;0;0;0
785.396;4.799.130;3;0;0;0
933.139;4.872.944;3;0;0;0
1.140.767;5.194.103;3;0;0;0
723.557;5.127.694;3;0;0;0
866.442;5.002.081;3;0;0;0
973.386;5.238.471;3;0;0;0
972.663;5.236.597;3;0;0;0
877.390;5.310.137;3;0;0;0
875.081;5.009.096;3;0;0;0
919.557;4.876.944;3;0;0;0
824.501;5.007.944;3;0;0;0
877.444;4.857.583;3;0;0;0
709.834;5.072.194;3;0;0;0
1.426.500;5.143.722;3;0;0;0
949.155;4.766.230;3;0;0;0
943.392;5.478.014;3;0;0;0
882.545;5.307.911;3;0;0;0
1.032.442;4.773.424;3;0;0;0
1.091.341;4.991.215;3;0;0;0
616.759;5.100.559;3;0;0;0
1.294.084;5.082.694;3;0;0;0
852.250;4.806.306;3;0;0;0
1.495.194;5.114.861;3;0;0;0
980.302;4.880.258;3;0;0;0
994.639;5.359.361;3;0;0;0
692.468;5.093.642;3;0;0;0
1.012.611;5.430.389;3;0;0;0
1.494.445;5.114.778;3;0;0;0
884.973;4.894.694;3;0;0;0
876.928;5.008.995;3;0;0;0
864.887;4.955.715;3;0;0;0
884.139;4.894.556;3;0;0;0
866.501;4.890.083;3;0;0;0
616.778;5.087.389;3;0;0;0
1.331.889;5.245.389;3;0;0;0
820.710;5.314.125;3;0;0;0
1.295.472;5.083.417;3;0;0;0
675.021;5.127.120;3;0;0;0
1.241.726;5.131.086;3;0;0;0
1.159.322;5.094.052;3;0;0;0
1.104.025;5.098.070;3;0;0;0
928.112;4.881.718;3;0;0;0
1.215.111;5.409.083;3;0;0;0
1.105.890;4.778.889;3;0;0;0
874.311;4.997.889;3;0;0;0
972.728;5.238.107;3;0;0;0
1.105.528;4.944.500;3;0;0;0
805.324;5.226.741;3;0;0;0
875.389;5.312.028;3;0;0;0
1.337.683;5.250.194;3;0;0;0
942.362;5.477.167;3;0;0;0
943.547;5.477.085;3;0;0;0
834.362;5.195.194;3;0;0;0
680.298;5.123.858;3;0;0;0
870.694;4.889.654;3;0;0;0
948.223;4.765.361;3;0;0;0
995.534;5.361.170;3;0;0;0
